Date,Realised_Volatility,GARCH_Forecast,GARCH_Binary,True_Target
2023-08-02,0.007737000281871,0.006384218522986476,1,1
2023-08-03,0.0071346832721997,0.006780881864268717,0,0
2023-08-04,0.0052130976712158,0.00662664444252654,0,0
2023-08-07,0.0043952296036396,0.006472897278044181,1,0
2023-08-08,0.0042379072275552,0.006371228018874052,1,0
2023-08-09,0.0096849004547253,0.006295536381262527,1,1
2023-08-10,0.0095016337158127,0.006677115337636624,0,0
2023-08-11,0.004738500110073,0.00652926369218348,0,0
2023-08-14,0.0098141373912715,0.006680324785512495,1,1
2023-08-15,0.0067391138524904,0.007390528504587119,0,0
2023-08-16,0.0048508184611792,0.007223161669715648,1,0
2023-08-17,0.0039996101619291,0.00708385462716766,1,0
2023-08-18,0.0066892497822924,0.006926681483783566,1,1
2023-08-21,0.0082795234458207,0.006770417986715814,1,1
2023-08-22,0.0115059598006287,0.007790158164483445,0,1
2023-08-23,0.021887971169635,0.007758238597373199,0,1
2023-08-24,0.0127309327114871,0.007733299135859424,0,0
2023-08-25,0.0117278875765412,0.0075555092807372826,0,0
2023-08-28,0.0072154795104777,0.007500550681072638,0,0
2023-08-29,0.0069979344601627,0.007376316113629584,1,0
2023-08-30,0.0052794695602209,0.007486168123829029,1,0
2023-08-31,0.0037306915870657,0.007327940195225406,1,0
2023-09-01,0.0060434110299236,0.00716123343651967,1,1
2023-09-05,0.0034128049352221,0.007063199710874722,1,0
2023-09-06,0.0060364208120126,0.006903288089775837,1,1
2023-09-07,0.0072286552186388,0.006948974257554508,1,1
2023-09-08,0.0061305840392146,0.006860395339589415,0,0
2023-09-11,0.0100215845944436,0.006754705093528646,1,1
2023-09-12,0.0048689682325327,0.006622300664105313,0,0
2023-09-13,0.0051062112244935,0.006486689277582538,1,1
2023-09-14,0.0029250350113352,0.006372365220775707,1,0
2023-09-15,0.0055455969284569,0.006229047095628381,1,1
2023-09-18,0.0054644414482638,0.006411467897044891,1,0
2023-09-19,0.0044887602599531,0.00626782576245471,1,0
2023-09-20,0.0064160286505219,0.006156008985970102,1,1
2023-09-21,0.0046704927806441,0.006229580181435744,0,0
2023-09-22,0.0052232530423325,0.006291168202454953,1,1
2023-09-25,0.006495161085496,0.006187794519398923,1,1
2023-09-26,0.00581386674128,0.006088980538703602,0,0
2023-09-27,0.0051526808825434,0.005970390567652719,1,0
2023-09-28,0.0046628751466952,0.0058703131507714034,1,0
2023-09-29,0.0036685680865082,0.005780904421578182,1,0
2023-10-02,0.0055854644885641,0.005668564919438723,1,1
2023-10-03,0.0081827911091194,0.005727958008189591,1,1
2023-10-04,0.0048922129460302,0.0058117996513778565,0,0
2023-10-05,0.0031971513838834,0.00571065449878381,1,0
2023-10-06,0.0064800073343169,0.005627323043413336,1,1
2023-10-09,0.0061433850635643,0.005625133502287818,0,0
2023-10-10,0.0036083766385411,0.0055372712720862865,0,0
2023-10-11,0.0035774774557694,0.005442066115303132,1,0
2023-10-12,0.0044682963651738,0.0054282025996183186,1,1
2023-10-13,0.0049974392945429,0.005310522938591523,1,1
2023-10-16,0.0039399368055876,0.005476572850425115,1,0
2023-10-17,0.0133537910053935,0.005396930696096212,1,1
2023-10-18,0.0048271724690147,0.005854995628674621,0,0
2023-10-19,0.0044746890252858,0.006111875739681197,1,0
2023-10-20,0.0094505557738596,0.005980956078158374,1,1
2023-10-23,0.0065569723239773,0.005925064173378024,0,0
2023-10-24,0.0045383207798214,0.006086285776206635,0,0
2023-10-25,0.0052867155726196,0.005999556754697871,1,1
2023-10-26,0.0086082051119604,0.00630971530185168,1,1
2023-10-27,0.0048958599882695,0.006448444193660883,0,0
2023-10-30,0.0081466599081669,0.006307185920555252,1,1
2023-10-31,0.0075461320343932,0.006214838466299355,0,0
2023-11-01,0.0068814101244083,0.006102128808029859,0,0
2023-11-02,0.0039197896913559,0.00624345790967193,0,0
2023-11-03,0.0041884188763566,0.006250911407964155,1,1
2023-11-06,0.0046504869634047,0.006335345557168763,1,1
2023-11-07,0.0039753128120014,0.006243155927505382,1,0
2023-11-08,0.0030609926146742,0.00610795106515055,1,0
2023-11-09,0.006785094218237,0.006005825046313745,1,1
2023-11-10,0.0042787335666773,0.005885038406009074,0,0
2023-11-13,0.0032641604772538,0.005928479372879018,1,0
2023-11-14,0.0051786919416157,0.005804445305000186,1,1
2023-11-15,0.0062262799518397,0.005767281903179298,1,1
2023-11-16,0.0033685965973769,0.005708359137242856,0,0
2023-11-17,0.0020597455405072,0.005611933203253338,1,0
2023-11-20,0.003301915489692,0.005497547231416795,1,1
2023-11-21,0.0038733406779177,0.005485287179634613,1,1
2023-11-22,0.0109444243329583,0.005395477715991739,1,1
2023-11-24,0.0051189991364034,0.00544837219729784,0,0
2023-11-27,0.0030018952360337,0.005437110408033004,1,0
2023-11-28,0.0039231938083223,0.0053386465132742485,1,1
2023-11-29,0.0037668184441852,0.005250863539106013,1,0
2023-11-30,0.0058138422847092,0.005147060256139298,1,1
2023-12-01,0.004209424014407,0.005270807202990348,0,0
2023-12-04,0.0056343513781841,0.00516016554971189,1,1
2023-12-05,0.0065708111956817,0.005257942334474125,0,1
2023-12-06,0.0048099671567239,0.005264370764692264,0,0
2023-12-07,0.0036892176798298,0.005301498239512471,1,0
2023-12-08,0.0052984775026735,0.005314244110507585,1,1
2023-12-11,0.0069060025023797,0.005282728667162118,0,1
2023-12-12,0.007517810160265,0.005270799390852024,0,1
2023-12-13,0.0054020969674799,0.005265007293549581,0,0
2023-12-14,0.0037796957913762,0.005169424522447873,0,0
2023-12-15,0.0040110350630005,0.00506591269495362,1,1
2023-12-18,0.0028470795080965,0.004985647923303258,1,0
2023-12-19,0.0053691735484086,0.005017643240565424,1,1
2023-12-20,0.0073405388751169,0.004944727315789425,0,1
2023-12-21,0.0030355713564093,0.005108782904879049,0,0
2023-12-22,0.0023668304814019,0.005075043016719557,1,0
2023-12-26,0.0034644939644918,0.004975551176204451,1,1
2023-12-27,0.0014234497766149,0.004889324684654246,1,0
2023-12-28,0.001963246668955,0.004789557859565169,1,1
2023-12-29,0.0048994866969495,0.004691815098045962,1,1
2024-01-02,0.0086098737299772,0.004596675641121008,0,1
2024-01-03,0.0034211017772344,0.004744010844751248,0,0
2024-01-04,0.0032458497620941,0.004700980121245409,1,0
2024-01-05,0.0049018294840203,0.00462236792096868,1,1
2024-01-08,0.0084054585322125,0.004658915489653903,0,1
2024-01-09,0.0073957636295101,0.0055221616148591075,0,0
2024-01-10,0.0047628254392154,0.0054618232256054096,0,0
2024-01-11,0.0059889980463263,0.0054535180492615775,1,1
2024-01-12,0.0021256798147057,0.005350756903675064,0,0
2024-01-16,0.005433202511555,0.005241183995093021,1,1
2024-01-17,0.0068574971525518,0.005335747929674802,0,1
2024-01-18,0.0054089844445513,0.00523661957401747,0,0
2024-01-19,0.0051218160649438,0.005201712910402575,0,0
2024-01-22,0.0043438194776283,0.00547597850101931,1,0
2024-01-23,0.0025037535301969,0.005360249384107392,1,0
2024-01-24,0.0070757634419193,0.005248881084595144,1,1
2024-01-25,0.0058506032326386,0.0052723331168464315,0,0
2024-01-26,0.0044457103480536,0.005164112732193704,0,0
2024-01-29,0.0046468253300481,0.0050876263296708996,1,1
2024-01-30,0.0064081742536399,0.00510425424078055,1,1
2024-01-31,0.0061346506313237,0.005002123726595775,0,0
2024-02-01,0.0044026744270746,0.005019331646838702,0,0
2024-02-02,0.0067326194632721,0.0050493036814977695,1,1
2024-02-05,0.0091079330045388,0.005494783836333633,0,1
2024-02-06,0.0094930001188645,0.0058560379016956475,0,1
2024-02-07,0.0047234469356855,0.005798355069189466,0,0
2024-02-08,0.0038867130274655,0.00582311355383186,1,0
2024-02-09,0.003678587592887,0.005710944781428667,1,0
2024-02-12,0.0073021048722578,0.005847806885712142,1,1
2024-02-13,0.0087246923148724,0.005720311416263763,0,1
2024-02-14,0.0061826842648624,0.005599221200258711,0,0
2024-02-15,0.0057916379579666,0.005601620229608281,0,0
2024-02-16,0.0057295583315169,0.005561191845943335,0,0
2024-02-20,0.0124554288427847,0.005443800405166165,0,1
2024-02-21,0.0252292952269217,0.005818755814277073,0,1
2024-02-22,0.0146604981237685,0.005899333762238956,0,0
2024-02-23,0.0085655162336601,0.009634641568554052,0,0
2024-02-26,0.0059247578490322,0.00938801206161817,1,0
2024-02-27,0.0039333112857352,0.009152289347978874,1,0
2024-02-28,0.006346247814286,0.008932468927265274,1,1
2024-02-29,0.0043057817752927,0.008750099648865167,1,0
2024-03-01,0.0041590568108839,0.008587764412653484,1,0
2024-03-04,0.0078960545563441,0.008613175263570277,1,1
2024-03-05,0.0093366207135331,0.00859271205313375,1,1
2024-03-06,0.0047277015418476,0.008397584212098784,0,0
2024-03-07,0.0071399176785088,0.00834577551685677,1,1
2024-03-08,0.019015912378603,0.008438145229523498,1,1
2024-03-11,0.0160511891916283,0.008773610795913878,0,0
2024-03-12,0.0093680516026678,0.00863899999880606,0,0
2024-03-13,0.0085611146435089,0.009130543262891973,0,0
2024-03-14,0.005611511367831,0.00893578696697012,1,0
2024-03-15,0.0062595041712488,0.008903194314508726,1,1
2024-03-18,0.0088239319284252,0.008693236486119162,1,1
